Worker ID,Nama,No. HP,Email,Tanggal Lahir,Gender,Pekerjaan,Pengalaman,Kecamatan,Kabupaten/Kota,Provinsi
15,Vinsen Wijaya,81246142887,vinsenwijaya@gmail.com,10/9/1977,Pria,Teknisi Elektronik,6,Solear,Kabupaten Tangerang,Banten
16,Aurora Widiastuti,81848442887,aurorawidiastuti@gmail.com,5/24/1974,Wanita,Babysitter,6,Solear,Kabupaten Tangerang,Banten
17,Hadi Thamrin,81409842887,hadithamrin@gmail.com,1/30/1998,Pria,Teknisi Komputer,8,Cisauk,Kabupaten Tangerang,Banten
18,Febi Permata,81611242887,febipermata@gmail.com,8/28/1996,Wanita,ART,12,Johar Baru,Jakarta Pusat,DKI Jakarta
19,Limar Prasasta,81697442887,limarprasasta@gmail.com,7/10/1988,Pria,Tukang,1,Jatinegara,Jakarta Timur,DKI Jakarta
20,Asmianto Winarno,81924942887,asmiantowinarno@gmail.com,10/22/1968,Pria,Supir,2,Kelapa Gading,Jakarta Utara,DKI Jakarta
21,Rudi Sihombing,81190642887,rudisihombing@gmail.com,6/19/1964,Pria,Tukang,8,Pagedangan,Kabupaten Tangerang,Banten
22,Gangsa Budiman,81354442887,gangsabudiman@gmail.com,11/16/2001,Pria,Tukang,13,Kembangan,Jakarta Barat,DKI Jakarta
23,Fathonah Mulyani,81905142887,fathonahmulyani@gmail.com,10/14/1991,Wanita,Teknisi Elektronik,6,Pagedangan,Kabupaten Tangerang,Banten
24,Pia Nuraini,81147742887,pianuraini@gmail.com,4/21/1985,Wanita,Teknisi Komputer,12,Solear,Kabupaten Tangerang,Banten
25,Puput Namaga,81468142887,puputnamaga@gmail.com,2/9/1994,Wanita,Teknisi Elektronik,3,Jambe,Kabupaten Tangerang,Banten
26,Hartana Sirait,81803542887,hartanasirait@gmail.com,7/12/1980,Pria,Cleaning Service,11,Periuk,Kota Tangerang,Banten
27,Cinta Yolanda,81815742887,cintayolanda@gmail.com,1/28/1978,Wanita,Teknisi Elektronik,1,Tambora,Jakarta Barat,DKI Jakarta
28,Carla Suryatmi,81735642887,carlasuryatmi@gmail.com,3/2/1989,Wanita,Teknisi Komputer,8,Kebon Jeruk,Jakarta Barat,DKI Jakarta
29,Gina Rahimah,81125442887,ginarahimah@gmail.com,8/19/1970,Wanita,Cleaning Service,1,Sawah Besar,Jakarta Pusat,DKI Jakarta
30,Kenzie Prayoga,81860742887,kenzieprayoga@gmail.com,8/20/1997,Pria,Teknisi Komputer,12,Kramat Jati,Jakarta Timur,DKI Jakarta
31,Mursita Sirait,81654442887,mursitasirait@gmail.com,4/3/1970,Pria,Supir,15,Koja,Jakarta Utara,DKI Jakarta
32,Dinda Laksita,81224442887,dindalaksita@gmail.com,12/12/1973,Wanita,ART,14,Tambora,Jakarta Barat,DKI Jakarta
33,Artawan Kusumo,81812042887,artawankusumo@gmail.com,11/3/1985,Pria,Teknisi Komputer,1,Koja,Jakarta Utara,DKI Jakarta
34,Karta Iswahyudi,81767042887,kartaiswahyudi@gmail.com,12/25/1971,Pria,Teknisi Komputer,14,Tebet,Jakarta Selatan,DKI Jakarta
35,Septi Winarsih,81352642887,septiwinarsih@gmail.com,2/22/2000,Wanita,Babysitter,8,Balaraja,Kabupaten Tangerang,Banten
36,Nasim Kuswoyo,81432742887,nasimkuswoyo@gmail.com,3/26/1991,Pria,Cleaning Service,15,Batuceper,Kota Tangerang,Banten
37,Endra Sihombing,81246142887,endrasihombing@gmail.com,9/17/1965,Pria,Tukang,15,Duren Sawit,Jakarta Timur,DKI Jakarta
38,Adhiarja Napitupulu,81610142887,adhiarjanapitupulu@gmail.com,9/21/1983,Pria,Tukang,10,Larangan,Kota Tangerang,Banten
39,Suci Melani,81213042887,sucimelani@gmail.com,9/26/1983,Wanita,Teknisi Elektronik,8,Senen,Jakarta Pusat,DKI Jakarta
40,Rika Hariyah,81924942887,rikahariyah@gmail.com,8/23/1979,Wanita,ART,9,Pasar Minggu,Jakarta Selatan,DKI Jakarta
41,Maria Purwanti,81815442887,mariapurwanti@gmail.com,8/4/1994,Wanita,Teknisi Elektronik,6,Kebayoran Baru,Jakarta Selatan,DKI Jakarta
42,Tirta Waskita,81200642887,tirtawaskita@gmail.com,8/17/1988,Pria,Cleaning Service,3,Kebayoran Lama,Jakarta Selatan,DKI Jakarta
43,Dalima Usamah,81898942887,dalimausamah@gmail.com,2/3/1998,Wanita,Cleaning Service,15,Sawah Besar,Jakarta Pusat,DKI Jakarta
44,Safina Astuti,81423242887,safinaastuti@gmail.com,3/20/1989,Wanita,Babysitter,15,Kemiri,Kabupaten Tangerang,Banten
45,Gangsa Tamba,81624142887,gangsatamba@gmail.com,12/11/1979,Pria,Supir,11,Pasar Kemis,Kabupaten Tangerang,Banten
46,Himawan Samosir,81616942887,himawansamosir@gmail.com,7/11/1981,Pria,Teknisi Elektronik,14,Periuk,Kota Tangerang,Banten
47,Edison Rajasa,81342242887,edisonrajasa@gmail.com,3/22/1997,Pria,Cleaning Service,8,Grogol Petamburan,Jakarta Barat,DKI Jakarta
48,Gawati Hassanah,81692042887,gawatihassanah@gmail.com,10/24/2001,Wanita,ART,2,Johar Baru,Jakarta Pusat,DKI Jakarta
49,Hadi Hidayat,81428942887,hadihidayat@gmail.com,12/18/1970,Pria,Supir,6,Jatiuwung,Kota Tangerang,Banten
50,Hani Rahayu,81483542887,hanirahayu@gmail.com,12/5/1970,Wanita,ART,9,Jayanti,Kabupaten Tangerang,Banten
51,Elvina Nurdiyanti,81609942887,elvinanurdiyanti@gmail.com,2/27/1988,Wanita,Teknisi Komputer,13,Pasar Rebo,Jakarta Timur,DKI Jakarta
52,Karta Budiman,81508042887,kartabudiman@gmail.com,9/10/1969,Pria,Teknisi Elektronik,3,Curug,Kabupaten Tangerang,Banten
53,Ifa Novitasari,81667842887,ifanovitasari@gmail.com,5/18/1970,Wanita,Teknisi Komputer,9,Mampang Prapatan,Jakarta Selatan,DKI Jakarta
54,Lulut Wibowo,81513342887,lulutwibowo@gmail.com,7/14/1991,Pria,Supir,8,Grogol Petamburan,Jakarta Barat,DKI Jakarta
55,Carub Hutagalung,81584442887,carubhutagalung@gmail.com,2/19/1963,Pria,Cleaning Service,1,Jagakarsa,Jakarta Selatan,DKI Jakarta
56,Among Saputra,81522142887,amongsaputra@gmail.com,12/4/1968,Pria,Teknisi Elektronik,9,Gunung Kaler,Kabupaten Tangerang,Banten
57,Danang Maheswara,81959142887,danangmaheswara@gmail.com,6/26/1985,Pria,Cleaning Service,12,Sindang Jaya,Kabupaten Tangerang,Banten
58,Jagaraga Pradana,81879442887,jagaragapradana@gmail.com,6/4/1986,Pria,Tukang,3,Batuceper,Kota Tangerang,Banten
59,Joko Sihombing,81124242887,jokosihombing@gmail.com,9/14/1996,Pria,Tukang,8,Duren Sawit,Jakarta Timur,DKI Jakarta
60,Laras Suartini,81242142887,larassuartini@gmail.com,12/5/1964,Wanita,ART,3,Tanah Abang,Jakarta Pusat,DKI Jakarta
61,Liman Nainggolan,81577742887,limannainggolan@gmail.com,4/30/1979,Pria,Teknisi Komputer,7,Pasar Rebo,Jakarta Timur,DKI Jakarta
62,Latika Fujiati,81486842887,latikafujiati@gmail.com,3/12/1990,Wanita,Babysitter,5,Kemayoran,Jakarta Pusat,DKI Jakarta
63,Caraka Siregar,81742842887,carakasiregar@gmail.com,12/28/1984,Pria,Supir,1,Ciledug,Kota Tangerang,Banten
64,Balangga Habibi,81194342887,balanggahabibi@gmail.com,3/21/1976,Pria,Tukang,14,Cikupa,Kabupaten Tangerang,Banten
65,Argono Zulkarnain,81514742887,argonozulkarnain@gmail.com,8/4/1998,Pria,Teknisi Komputer,14,Neglasari,Kota Tangerang,Banten
66,Sabar Nugroho,81249842887,sabarnugroho@gmail.com,5/29/1983,Pria,Supir,15,Cakung,Jakarta Timur,DKI Jakarta
67,Bahuwarna Hutasoit,81897442887,bahuwarnahutasoit@gmail.com,4/1/1965,Pria,Cleaning Service,5,Mauk,Kabupaten Tangerang,Banten
68,Jaya Winarno,81666542887,jayawinarno@gmail.com,2/19/1996,Pria,Teknisi Komputer,7,Benda,Kota Tangerang,Banten
69,Nadia Wijayanti,81149142887,nadiawijayanti@gmail.com,9/25/1964,Wanita,Babysitter,7,Tanjung Priok,Jakarta Utara,DKI Jakarta
70,Luhung Haryanto,81713542887,luhungharyanto@gmail.com,10/3/1980,Pria,Tukang,2,Sawah Besar,Jakarta Pusat,DKI Jakarta
71,Rafi Budiyanto,81520842887,rafibudiyanto@gmail.com,2/8/1998,Pria,Cleaning Service,5,Periuk,Kota Tangerang,Banten
72,Yani Rahayu,81184142887,yanirahayu@gmail.com,12/10/1995,Wanita,Teknisi Elektronik,13,Gunung Kaler,Kabupaten Tangerang,Banten
73,Garan Kuswoyo,81400342887,garankuswoyo@gmail.com,11/28/1987,Pria,Supir,7,Tambora,Jakarta Barat,DKI Jakarta
74,Jabal Pradana,81559742887,jabalpradana@gmail.com,1/12/2002,Pria,Supir,1,Cilandak,Jakarta Selatan,DKI Jakarta
75,Galih Pratama,81161142887,galihpratama@gmail.com,5/11/1968,Pria,Cleaning Service,10,Kebayoran Baru,Jakarta Selatan,DKI Jakarta
76,Heru Saefullah,81193642887,herusaefullah@gmail.com,5/28/1990,Pria,Tukang,10,Curug,Kabupaten Tangerang,Banten
77,Ganjaran Dongoran,81521542887,ganjarandongoran@gmail.com,8/6/1967,Pria,Cleaning Service,11,Sawah Besar,Jakarta Pusat,DKI Jakarta
78,Balidin Najmudin,81520042887,balidinnajmudin@gmail.com,2/27/1975,Pria,Teknisi Komputer,12,Cisoka,Kabupaten Tangerang,Banten
79,Edi Siregar,81578442887,edisiregar@gmail.com,12/2/1980,Pria,Teknisi Elektronik,12,Jatiuwung,Kota Tangerang,Banten
80,Galur Mansur,81556342887,galurmansur@gmail.com,11/18/1979,Pria,Teknisi Komputer,5,Cisoka,Kabupaten Tangerang,Banten
81,Titin Hasanah,81308042887,titinhasanah@gmail.com,7/18/1967,Wanita,Babysitter,2,Cakung,Jakarta Timur,DKI Jakarta
82,Nrima Manullang,81504142887,nrimamanullang@gmail.com,3/13/1984,Pria,Cleaning Service,7,Sepatan,Kabupaten Tangerang,Banten
83,Ganep Budiman,81493342887,ganepbudiman@gmail.com,1/3/1990,Pria,Teknisi Elektronik,12,Pinang,Kota Tangerang,Banten
84,Mahfud Utama,81365642887,mahfudutama@gmail.com,8/19/1996,Pria,Cleaning Service,1,Kebayoran Lama,Jakarta Selatan,DKI Jakarta
85,Cemani Hidayanto,81603042887,cemanihidayanto@gmail.com,2/1/1984,Pria,Supir,4,Cempaka Putih,Jakarta Pusat,DKI Jakarta
86,Ozy Gunawan,81345942887,ozygunawan@gmail.com,3/30/1996,Pria,Cleaning Service,1,Benda,Kota Tangerang,Banten
87,Ika Yulianti,81362842887,ikayulianti@gmail.com,11/23/1984,Wanita,Babysitter,13,Cisoka,Kabupaten Tangerang,Banten
88,Bakidin Budiman,81415642887,bakidinbudiman@gmail.com,11/2/1979,Pria,Teknisi Komputer,5,Gambir,Jakarta Pusat,DKI Jakarta
89,Ajeng Melani,81439742887,ajengmelani@gmail.com,2/25/1986,Wanita,Teknisi Elektronik,10,Teluknaga,Kabupaten Tangerang,Banten
90,Rika Agustina,81844642887,rikaagustina@gmail.com,4/29/1972,Wanita,Teknisi Elektronik,6,Cempaka Putih,Jakarta Pusat,DKI Jakarta
91,Artanto Latupono,81879042887,artantolatupono@gmail.com,2/24/1969,Pria,Teknisi Komputer,10,Jayanti,Kabupaten Tangerang,Banten
92,Dian Lestari,81462842887,dianlestari@gmail.com,6/15/2002,Wanita,Babysitter,11,Pinang,Kota Tangerang,Banten
93,Lega Kusumo,81839042887,legakusumo@gmail.com,2/5/1980,Pria,Supir,13,Sawah Besar,Jakarta Pusat,DKI Jakarta
94,Bagas Halim,81200942887,bagashalim@gmail.com,9/29/1982,Pria,Tukang,4,Cilincing,Jakarta Utara,DKI Jakarta
95,Arta Pradana,81670542887,artapradana@gmail.com,9/11/1974,Pria,Teknisi Elektronik,10,Pademangan,Jakarta Utara,DKI Jakarta
96,Chelsea Sudiati,81401742887,chelseasudiati@gmail.com,8/7/1971,Wanita,Babysitter,1,Penjaringan,Jakarta Utara,DKI Jakarta
97,Kayun Kuswoyo,81884142887,kayunkuswoyo@gmail.com,12/21/1979,Pria,Supir,6,Tanjung Priok,Jakarta Utara,DKI Jakarta
98,Lintang Melani,81548642887,lintangmelani@gmail.com,5/31/1977,Wanita,ART,2,Kalideres,Jakarta Barat,DKI Jakarta
99,Ajimin Winarno,81614242887,ajiminwinarno@gmail.com,2/11/1981,Pria,Teknisi Elektronik,12,Tambora,Jakarta Barat,DKI Jakarta
100,Marwata Firgantoro,81327242887,marwatafirgantoro@gmail.com,12/19/1984,Pria,Teknisi Elektronik,13,Teluknaga,Kabupaten Tangerang,Banten
101,Digdaya Tamba,81411942887,digdayatamba@gmail.com,8/11/1983,Pria,Supir,5,Pulo Gadung,Jakarta Timur,DKI Jakarta
102,Gatot Irawan,81694142887,gatotirawan@gmail.com,5/2/2003,Pria,Teknisi Elektronik,1,Kalideres,Jakarta Barat,DKI Jakarta
103,Nugraha Budiyanto,81651142887,nugrahabudiyanto@gmail.com,1/31/1985,Pria,Tukang,7,Mampang Prapatan,Jakarta Selatan,DKI Jakarta
104,Chelsea Wulandari,81426642887,chelseawulandari@gmail.com,10/10/1992,Wanita,Teknisi Komputer,13,Mekarbaru,Kabupaten Tangerang,Banten
105,Melinda Suartini,81756842887,melindasuartini@gmail.com,1/18/2002,Wanita,Cleaning Service,3,Kosambi,Kabupaten Tangerang,Banten
106,Endah Maryati,81502542887,endahmaryati@gmail.com,8/10/2000,Wanita,Teknisi Elektronik,11,Pagedangan,Kabupaten Tangerang,Banten
107,Siska Rahayu,81202942887,siskarahayu@gmail.com,5/9/1982,Wanita,Teknisi Elektronik,12,Ciracas,Jakarta Timur,DKI Jakarta
108,Halim Saefullah,81814542887,halimsaefullah@gmail.com,6/25/2002,Pria,Teknisi Komputer,1,Sawah Besar,Jakarta Pusat,DKI Jakarta
109,Amalia Usada,81213142887,amaliausada@gmail.com,11/20/1990,Wanita,Teknisi Komputer,3,Cibodas,Kota Tangerang,Banten
110,Yani Pertiwi,81375242887,yanipertiwi@gmail.com,3/6/1982,Wanita,Babysitter,6,Cipondoh,Kota Tangerang,Banten
111,Cemeti Simanjuntak,81864442887,cemetisimanjuntak@gmail.com,5/12/1980,Pria,Teknisi Komputer,7,Kronjo,Kabupaten Tangerang,Banten
112,Taswir Ramadan,81983742887,taswirramadan@gmail.com,7/27/1984,Pria,Teknisi Komputer,1,Pancoran,Jakarta Selatan,DKI Jakarta
113,Rachel Widiastuti,81465142887,rachelwidiastuti@gmail.com,5/16/1979,Wanita,ART,12,Pinang,Kota Tangerang,Banten
114,Hartana Sinaga,81770542887,hartanasinaga@gmail.com,10/10/1966,Pria,Tukang,11,Kresek,Kabupaten Tangerang,Banten
115,Eka Utama,81921342887,ekautama@gmail.com,2/22/1974,Pria,Cleaning Service,13,Cisauk,Kabupaten Tangerang,Banten
116,Emil Wasita,81929442887,emilwasita@gmail.com,4/15/1966,Pria,Cleaning Service,4,Gunung Kaler,Kabupaten Tangerang,Banten
117,Wahyu Lazuardi,81242142887,wahyulazuardi@gmail.com,3/6/1966,Pria,Supir,9,Teluknaga,Kabupaten Tangerang,Banten
118,Catur Permadi,81778742887,caturpermadi@gmail.com,6/4/1989,Pria,Teknisi Elektronik,9,Jambe,Kabupaten Tangerang,Banten
119,Yahya Hutagalung,81671042887,yahyahutagalung@gmail.com,12/20/1969,Pria,Cleaning Service,7,Ciledug,Kota Tangerang,Banten
120,Ganda Sitompul,81874042887,gandasitompul@gmail.com,11/21/1973,Pria,Teknisi Elektronik,15,Jatinegara,Jakarta Timur,DKI Jakarta
121,Tasnim Simbolon,81486042887,tasnimsimbolon@gmail.com,1/9/1986,Pria,Cleaning Service,1,Sukamulya,Kabupaten Tangerang,Banten
122,Ian Wasita,81226742887,ianwasita@gmail.com,9/4/1983,Pria,Cleaning Service,12,Cikupa,Kabupaten Tangerang,Banten
123,Nadia Laksmiwati,81986642887,nadialaksmiwati@gmail.com,3/8/2001,Wanita,Teknisi Elektronik,1,Benda,Kota Tangerang,Banten
124,Aisyah Haryanti,81223142887,aisyahharyanti@gmail.com,12/21/1998,Wanita,Teknisi Elektronik,4,Jambe,Kabupaten Tangerang,Banten
125,Cengkir Marbun,81170942887,cengkirmarbun@gmail.com,9/20/1994,Pria,Teknisi Elektronik,8,Grogol Petamburan,Jakarta Barat,DKI Jakarta
126,Daru Dabukke,81475542887,darudabukke@gmail.com,8/1/1982,Pria,Tukang,1,Johar Baru,Jakarta Pusat,DKI Jakarta
127,Faizah Handayani,81534542887,faizahhandayani@gmail.com,1/4/1983,Wanita,Teknisi Elektronik,11,Cisauk,Kabupaten Tangerang,Banten
128,Jumadi Salahudin,81188242887,jumadisalahudin@gmail.com,2/17/1987,Pria,Supir,6,Makasar,Jakarta Timur,DKI Jakarta
129,Hardi Lazuardi,81192342887,hardilazuardi@gmail.com,3/15/1973,Pria,Supir,9,Cipayung,Jakarta Timur,DKI Jakarta
130,Rina Susanti,81822642887,rinasusanti@gmail.com,6/3/1991,Wanita,ART,14,Balaraja,Kabupaten Tangerang,Banten
131,Paiman Budiman,81966142887,paimanbudiman@gmail.com,2/3/1992,Pria,Tukang,7,Balaraja,Kabupaten Tangerang,Banten
132,Anastasia Oktaviani,81904842887,anastasiaoktaviani@gmail.com,3/18/1997,Wanita,Cleaning Service,8,Kebayoran Lama,Jakarta Selatan,DKI Jakarta
133,Vega Habibi,81839942887,vegahabibi@gmail.com,12/11/1976,Pria,Tukang,15,Kelapa Dua,Kabupaten Tangerang,Banten
134,Samiah Utami,81455842887,samiahutami@gmail.com,2/11/1976,Wanita,Cleaning Service,6,Gunung Kaler,Kabupaten Tangerang,Banten
135,Prabu Ardianto,81858942887,prabuardianto@gmail.com,9/8/1982,Pria,Teknisi Komputer,8,Cipondoh,Kota Tangerang,Banten
136,Danuja Nababan,81253242887,danujanababan@gmail.com,8/7/1987,Pria,Tukang,2,Tambora,Jakarta Barat,DKI Jakarta
137,Amalia Pratiwi,81405142887,amaliapratiwi@gmail.com,1/11/1986,Wanita,Teknisi Komputer,4,Mampang Prapatan,Jakarta Selatan,DKI Jakarta
138,Maria Hariyah,81883742887,mariahariyah@gmail.com,10/1/1986,Wanita,ART,5,Sepatan,Kabupaten Tangerang,Banten
139,Upik Hidayanto,81623442887,upikhidayanto@gmail.com,6/13/1984,Pria,Cleaning Service,7,Cibodas,Kota Tangerang,Banten
140,Hartana Prasetya,81730042887,hartanaprasetya@gmail.com,7/9/1989,Pria,Supir,1,Tanah Abang,Jakarta Pusat,DKI Jakarta
141,Cemplunk Iswahyudi,81817942887,cemplunkiswahyudi@gmail.com,2/28/1978,Pria,Teknisi Komputer,10,Periuk,Kota Tangerang,Banten
142,Diana Mardhiyah,81338542887,dianamardhiyah@gmail.com,9/10/1981,Wanita,Teknisi Elektronik,1,Pasar Kemis,Kabupaten Tangerang,Banten
143,Laswi Nugroho,81716042887,laswinugroho@gmail.com,4/23/1978,Pria,Teknisi Komputer,8,Teluknaga,Kabupaten Tangerang,Banten
144,Gatra Pradipta,81458242887,gatrapradipta@gmail.com,2/1/1978,Pria,Supir,14,Sukamulya,Kabupaten Tangerang,Banten
145,Lasmono Wasita,81860542887,lasmonowasita@gmail.com,3/1/1965,Pria,Supir,15,Sepatan,Kabupaten Tangerang,Banten
146,Banawi Napitupulu,81797542887,banawinapitupulu@gmail.com,6/26/1983,Pria,Tukang,10,Ciledug,Kota Tangerang,Banten
147,Zamira Yolanda,81540242887,zamirayolanda@gmail.com,6/14/1974,Wanita,Cleaning Service,15,Mampang Prapatan,Jakarta Selatan,DKI Jakarta
148,Uchita Wulandari,81326442887,uchitawulandari@gmail.com,6/10/1981,Wanita,Babysitter,12,Taman Sari,Jakarta Barat,DKI Jakarta
149,Prayitna Waluyo,81846142887,prayitnawaluyo@gmail.com,2/16/2002,Pria,Cleaning Service,15,Makasar,Jakarta Timur,DKI Jakarta
150,Adiarja Hutapea,81221842887,adiarjahutapea@gmail.com,6/22/1969,Pria,Teknisi Komputer,14,Kebayoran Lama,Jakarta Selatan,DKI Jakarta
151,Tirtayasa Mangunsong,81253642887,tirtayasamangunsong@gmail.com,3/30/1978,Pria,Teknisi Elektronik,9,Pinang,Kota Tangerang,Banten
152,Patricia Hariyah,81708542887,patriciahariyah@gmail.com,12/12/1966,Wanita,Babysitter,5,Tanjung Priok,Jakarta Utara,DKI Jakarta
153,Samsul Firgantoro,81658042887,samsulfirgantoro@gmail.com,4/20/1993,Pria,Teknisi Elektronik,6,Ciracas,Jakarta Timur,DKI Jakarta
154,Lili Winarsih,81221242887,liliwinarsih@gmail.com,4/4/1999,Wanita,Cleaning Service,4,Periuk,Kota Tangerang,Banten
155,Fitriani Hasanah,81311542887,fitrianihasanah@gmail.com,10/11/1981,Wanita,ART,15,Jambe,Kabupaten Tangerang,Banten
156,Balamantri Haryanto,81794442887,balamantriharyanto@gmail.com,6/16/1999,Pria,Cleaning Service,10,Senen,Jakarta Pusat,DKI Jakarta
157,Lukita Nababan,81941942887,lukitanababan@gmail.com,8/31/1963,Pria,Supir,7,Legok,Kabupaten Tangerang,Banten
158,Nurul Suartini,81580642887,nurulsuartini@gmail.com,2/13/1985,Wanita,Babysitter,13,Ciracas,Jakarta Timur,DKI Jakarta
159,Uli Yolanda,81914942887,uliyolanda@gmail.com,7/26/1963,Wanita,Teknisi Elektronik,6,Mampang Prapatan,Jakarta Selatan,DKI Jakarta
160,Janet Anggraini,81747842887,janetanggraini@gmail.com,1/8/1968,Wanita,Babysitter,4,Kalideres,Jakarta Barat,DKI Jakarta
161,Kamidin Siregar,81340242887,kamidinsiregar@gmail.com,7/28/1993,Pria,Teknisi Elektronik,3,Tanah Abang,Jakarta Pusat,DKI Jakarta
162,Unjani Nurdiyanti,81665942887,unjaninurdiyanti@gmail.com,7/25/1979,Wanita,Babysitter,14,Jayanti,Kabupaten Tangerang,Banten
163,Daliono Sitorus,81912142887,dalionositorus@gmail.com,12/13/2000,Pria,Teknisi Elektronik,6,Penjaringan,Jakarta Utara,DKI Jakarta
164,Soleh Winarno,81353842887,solehwinarno@gmail.com,9/3/1975,Pria,Teknisi Elektronik,4,Pasar Kemis,Kabupaten Tangerang,Banten
165,Farhunnisa Purnawati,81130142887,farhunnisapurnawati@gmail.com,9/9/1968,Wanita,Cleaning Service,14,Pulo Gadung,Jakarta Timur,DKI Jakarta
166,Tania Sudiati,81668042887,taniasudiati@gmail.com,12/31/1975,Wanita,Teknisi Komputer,8,Duren Sawit,Jakarta Timur,DKI Jakarta
167,Nova Agustina,81344742887,novaagustina@gmail.com,9/10/1972,Wanita,Babysitter,4,Senen,Jakarta Pusat,DKI Jakarta
168,Bahuwarna Jailani,81519342887,bahuwarnajailani@gmail.com,3/16/1989,Pria,Cleaning Service,5,Pasar Rebo,Jakarta Timur,DKI Jakarta
169,Rudi Waluyo,81985242887,rudiwaluyo@gmail.com,12/1/1980,Pria,Cleaning Service,5,Pademangan,Jakarta Utara,DKI Jakarta
170,Bala Anggriawan,81878742887,balaanggriawan@gmail.com,1/5/1997,Pria,Supir,1,Cipondoh,Kota Tangerang,Banten
171,Gawati Pertiwi,81480542887,gawatipertiwi@gmail.com,10/16/1986,Wanita,Cleaning Service,5,Ciledug,Kota Tangerang,Banten
172,Dian Aryani,81404842887,dianaryani@gmail.com,2/10/1967,Wanita,Cleaning Service,10,Senen,Jakarta Pusat,DKI Jakarta
173,Ibrani Sihombing,81895742887,ibranisihombing@gmail.com,7/29/1970,Pria,Teknisi Elektronik,14,Grogol Petamburan,Jakarta Barat,DKI Jakarta
174,Anita Hartati,81914142887,anitahartati@gmail.com,11/18/1972,Wanita,Teknisi Elektronik,3,Cilincing,Jakarta Utara,DKI Jakarta
175,Puji Mulyani,81399642887,pujimulyani@gmail.com,8/5/1967,Wanita,Teknisi Elektronik,9,Batuceper,Kota Tangerang,Banten
176,Caket Prayoga,81187242887,caketprayoga@gmail.com,2/16/1991,Pria,Teknisi Elektronik,2,Tigaraksa,Kabupaten Tangerang,Banten
177,Vino Maheswara,81721842887,vinomaheswara@gmail.com,3/22/1963,Pria,Teknisi Elektronik,9,Tanjung Priok,Jakarta Utara,DKI Jakarta
178,Labuh Firgantoro,81146442887,labuhfirgantoro@gmail.com,3/26/2000,Pria,Teknisi Komputer,6,Kosambi,Kabupaten Tangerang,Banten
179,Padma Wulandari,81539142887,padmawulandari@gmail.com,3/27/1963,Wanita,Teknisi Elektronik,9,Duren Sawit,Jakarta Timur,DKI Jakarta
180,Ellis Mayasari,81524142887,ellismayasari@gmail.com,3/14/1975,Wanita,Teknisi Komputer,10,Cempaka Putih,Jakarta Pusat,DKI Jakarta
181,Karen Nasyidah,81839942887,karennasyidah@gmail.com,5/25/1969,Wanita,Teknisi Elektronik,13,Tebet,Jakarta Selatan,DKI Jakarta
182,Kemal Budiyanto,81263742887,kemalbudiyanto@gmail.com,7/19/1969,Pria,Supir,6,Kosambi,Kabupaten Tangerang,Banten
183,Opung Sinaga,81694142887,opungsinaga@gmail.com,11/25/1984,Pria,Supir,4,Jagakarsa,Jakarta Selatan,DKI Jakarta
184,Carub Mahendra,81434342887,carubmahendra@gmail.com,6/5/1972,Pria,Teknisi Elektronik,12,Gunung Kaler,Kabupaten Tangerang,Banten
